"","ID","Intensity","BP0","BP1","Omaxe","Pmaxe","Equation","Q0d","K","Alpha","R2","Q0se","Alphase","N","AbsSS","SdRes","Q0Low","Q0High","AlphaLow","AlphaHigh","EV","Omaxd","Pmaxd","Notes"
"949","949",10.3456516865434,NA,17,40.6906652705386,12,"hs",8.82166112065795,1.53568195556672,0.00557010161705911,0.654565373988025,2.52797257570704,0.000613845835137641,16,0.454223404627572,0.180123648924758,3.39969919286022,14.2436230484557,0.00425353324142211,0.00688666999269611,0.943376296480887,22.4044340260461,8.31406735096308,"converged"
"950","950",5.74024829271597,NA,17,37.0882380634271,7,"hs",14.5532605982414,2.04826503071675,0.00425433429202657,0.693396731673265,7.11413955928078,0.000825018022472727,17,1.20371652345952,0.283280370358828,-0.610168932436421,29.7166901289192,0.00249585000294845,0.00601281858110468,0.801842666988975,20.8020356375309,4.51799644198972,"converged"
"951","951",7.41177303097567,NA,17,44.6027765499403,12,"hs",11.2979144081567,2.10285785565431,0.00421113874926562,0.554832928999971,5.8296344599413,0.000852688073884419,15,1.36361488435199,0.323872587050001,-1.29624515773584,23.8920739740493,0.00236901816070609,0.00605325933782515,0.778727610618168,20.3885271434359,5.68326030803275,"converged"
"952","952",6.21217315753872,NA,17,25.0294913486034,11,"hs",9.23285705162045,1.7432805628272,0.00617817349526182,0.831810906681594,2.37569184317478,0.00055668323891622,16,0.332034661640783,0.154002472531353,4.13750481178427,14.3282092914566,0.00498420669504735,0.0073721402954763,0.703216363763551,17.310573339378,6.05273770675721,"converged"
"953","953",7.61646668799636,NA,16,51.3821129298249,8,"hs",7.88546355916328,1.63563606031262,0.00454343645534539,0.531119296849067,2.57924565339926,0.000732324250125268,14,0.573987673668171,0.218705981031645,2.26577003867353,13.505157079653,0.00294783898369603,0.00613903392699476,1.052169059298,25.420661063632,10.4844823858506,"converged"
"954","954",10.0978925297892,NA,17,42.4260555390486,9,"hs",12.5308400289266,2.1921081278882,0.00413449807639212,0.718273926476056,5.16337609435636,0.000707798951823314,17,0.995009314937617,0.257553789195916,1.52536439905655,23.5363156587967,0.00262586032218063,0.00564313583060361,0.745219563171534,19.8021112445521,4.94764651957848,"converged"
"955","955",9.4321001267731,NA,17,45.9150314126071,13,"hs",10.4417796810988,2.27894874616789,0.00363229888518949,0.616160864842689,4.02234941866525,0.000568351503129999,17,1.05529578458583,0.265241498083769,1.86834484060216,19.0152145215955,0.00242088633212484,0.00484371143825414,0.800233237339985,21.5669197043076,6.43106768202932,"converged"
"956","956",10.6856492459017,NA,17,38.545883047662,10,"hs",8.25035535019025,2.20105805880151,0.00439722454680767,0.601490554974862,3.10419839613655,0.000673191594714589,16,0.951705681372154,0.260727783791579,1.59251195350079,14.9081987468797,0.00295337217604566,0.00584107691756968,0.696424608527522,18.5327423646544,7.0288401368813,"converged"
"957","957",7.5024544129056,NA,17,51.0119731230122,12,"hs",10.6664940859297,1.80322451086425,0.00422601491208406,0.614511956329203,3.97731603240042,0.000577448425068776,17,0.896986497506081,0.244538544679032,2.18904563612221,19.1439425357372,0.00299521272888701,0.00545681709528111,0.977224331570584,24.3077083737095,7.32625606137718,"converged"
"958","958",10.0973139160672,NA,17,46.7175877142307,11,"hs",16.176824239853,1.95490775253269,0.00400414246076376,0.678313288352028,8.16708982050549,0.000764563642036229,17,1.2285283140274,0.286185058313369,-1.23091564660927,33.5845641263153,0.00237451363339411,0.00563377128813341,0.913694637658511,23.3304582351555,4.58776808175971,"converged"
"959","959",10.759756022117,NA,17,53.0205333625527,10,"hs",13.0794289382569,2.70270319808732,0.00305078115328115,0.572563952938444,6.80534136749793,0.000743770182680069,17,1.87503332488394,0.353556532479502,-1.42581282687575,27.5846707033894,0.00146547253540681,0.0046360897711555,0.737719752532009,21.22216164311,4.93145654562489,"converged"
"960","960",9.64488757928608,NA,17,49.7491393604898,10,"hs",10.4979358146075,2.11431062231079,0.00403758416140259,0.5599811113379,4.93468619488432,0.000743413483666506,15,1.13033598920687,0.29487102646188,-0.162805570300234,21.1586771995152,0.00243153697249766,0.00564363135030752,0.805610697318292,21.1327643578527,6.33478618224051,"converged"
"961","961",7.48976955021519,NA,17,48.1328557248876,8,"hs",7.33295003075721,1.43333897767565,0.00474015371839538,0.474371635193182,2.17604811804913,0.000839992758675885,16,0.588752217361518,0.205070060739097,2.66579099489685,12.0001090666176,0.00293854843163999,0.00654175900515077,1.22937452018137,28.7024836275226,12.8917911460125,"converged"
"962","962",11.2492231444665,NA,17,45.1991115867181,10,"hs",17.6592294635335,1.86920568941129,0.00407660195337828,0.801441320269477,7.0266960911835,0.000580158183909854,15,0.574478557196438,0.21021574214573,2.478975469651,32.8394834574159,0.00282324639706906,0.00532995750968751,0.959878027525623,24.1508758989707,4.37640897930172,"converged"
"963","963",9.05079199271385,NA,17,40.0705680143485,9,"hs",7.34333818123316,1.49323208643238,0.00542435530020791,0.704418650408522,1.56172215679539,0.000555039044411443,16,0.283389836367377,0.142274843767612,3.99377728911213,10.6928990733542,0.00423391494647963,0.00661479565393619,1.01032453902491,23.8231528019512,10.6481384852084,"converged"
"964","964",4.39632467146545,NA,17,39.913366648403,10,"hs",7.42449956426796,1.93177762242433,0.0048121768472638,0.576311852565441,2.52867837854162,0.000643696803532693,17,0.849195142174837,0.237934884954524,2.03474918345859,12.8142499450773,0.00344016958789576,0.00618418410663184,0.773967499877895,19.6844152986919,8.44736963780183,"converged"
"965","965",4.55500757607172,NA,16,48.389985989169,11,"hs",6.9779441982977,1.43855805802253,0.0050799652648639,0.581852704663425,1.68974307606019,0.000715717301336937,16,0.385203576257864,0.165875076974439,3.35380574276252,10.6020826538329,0.00354490432464398,0.00661502620508382,1.14090153961143,26.6595974515539,12.5797797083085,"converged"
"966","966",6.51304512520162,NA,17,39.8161648043573,6,"hs",9.01705078350353,1.93004311248583,0.00546694646914151,0.546211537327856,4.29925186613651,0.000969785799928432,17,1.38152934316519,0.303483041059979,-0.146587652820159,18.1806892198272,0.00339989696659373,0.00753399597168929,0.682188922966745,17.34503150648,6.12955497168754,"converged"
"967","967",9.76747486887242,NA,17,57.6825715458105,7,"hs",11.4786287809419,1.62780190111054,0.00462182734109178,0.714749794600126,3.60625452724627,0.000502550330987111,17,0.568008862021945,0.194595111624444,3.79207920767,19.1651783542139,0.00355066666648839,0.00569298801569518,1.04179904641949,25.136031609256,7.12562729097596,"converged"
"968","968",6.97272671275001,NA,16,44.9095779913373,6,"hs",12.5590119421769,1.52921636056221,0.00577158862442594,0.741229192535782,4.81579699447854,0.000692960339857324,15,0.530186031039082,0.201949352188018,2.15511505941777,22.9629088249361,0.00427453882602637,0.0072686384228255,0.916223080018177,21.7357085998756,5.66793455704903,"converged"
"969","969",5.84898305383127,NA,17,30.4655293217105,8,"hs",8.2110534389103,2.05856475805791,0.00511999377535463,0.576334373867179,3.41841052101869,0.000823137302918461,16,1.05499738026489,0.274512214178544,0.879292059591259,15.5428148182293,0.00335453984572655,0.00688544770498271,0.661277531464594,17.1852116641583,6.61080648275763,"converged"
"970","970",8.38786638533113,NA,17,32.3193040084961,14,"hs",8.07864014366388,1.61125883224357,0.00639513542766739,0.763842483838335,2.05735875588388,0.000608366969856873,15,0.3210279981113,0.157144714811466,3.63398677235305,12.5232935149747,0.00508083849436136,0.00770943236097342,0.764543653725348,18.3939137429367,7.41708028314137,"converged"
"971","971",11.1869019743016,NA,17,44.5883050505446,10,"hs",11.5362075027916,1.9958098009559,0.00411411802094634,0.696524147338901,4.03122362535347,0.0005472786304117,16,0.694559227919981,0.222736107137697,2.89009273511371,20.1823222704694,0.00294032209985744,0.00528791394203524,0.862073961035354,22.1666104257584,6.0951793241517,"converged"
"972","972",6.7729190521373,NA,17,47.0461570325301,10,"hs",11.2115849030133,2.06685583752606,0.00403158746789297,0.632561805102423,4.75434980282473,0.000664093276593054,15,0.950924394153399,0.270458925383305,0.940436607130746,21.482733198896,0.00259690116817366,0.00546627376761228,0.83475424213299,21.7238157511715,6.11681174083653,"converged"
